Temperature,Year,Month,Country,ISO3
6.77267, 1934, Mar, Afghanistan, AFG
12.21, 1934, Apr, Afghanistan, AFG
15.3134, 1934, May, Afghanistan, AFG
23.1446, 1934, Jun, Afghanistan, AFG
24.7089, 1934, Jul, Afghanistan, AFG
24.3148, 1934, Aug, Afghanistan, AFG
18.2132, 1934, Sep, Afghanistan, AFG
11.8668, 1934, Oct, Afghanistan, AFG
5.13415, 1934, Nov, Afghanistan, AFG
2.91487, 1934, Dec, Afghanistan, AFG
-3.1749, 1935, Jan, Afghanistan, AFG
3.40372, 1935, Feb, Afghanistan, AFG
7.33223, 1935, Mar, Afghanistan, AFG
11.8209, 1935, Apr, Afghanistan, AFG
17.1423, 1935, May, Afghanistan, AFG
21.042, 1935, Jun, Afghanistan, AFG
24.8838, 1935, Jul, Afghanistan, AFG
24.2863, 1935, Aug, Afghanistan, AFG
18.5262, 1935, Sep, Afghanistan, AFG
12.7056, 1935, Oct, Afghanistan, AFG
5.13568, 1935, Nov, Afghanistan, AFG
1.69046, 1935, Dec, Afghanistan, AFG
-1.377, 1936, Jan, Afghanistan, AFG
3.61339, 1936, Feb, Afghanistan, AFG
5.18336, 1936, Mar, Afghanistan, AFG
12.2646, 1936, Apr, Afghanistan, AFG
19.9217, 1936, May, Afghanistan, AFG
23.7605, 1936, Jun, Afghanistan, AFG
24.9671, 1936, Jul, Afghanistan, AFG
23.4601, 1936, Aug, Afghanistan, AFG
19.8333, 1936, Sep, Afghanistan, AFG
14.7931, 1936, Oct, Afghanistan, AFG
6.28059, 1936, Nov, Afghanistan, AFG
0.8128, 1936, Dec, Afghanistan, AFG
-2.2414, 1937, Jan, Afghanistan, AFG
2.7211, 1937, Feb, Afghanistan, AFG
4.95076, 1937, Mar, Afghanistan, AFG
10.8898, 1937, Apr, Afghanistan, AFG
18.2891, 1937, May, Afghanistan, AFG
23.3773, 1937, Jun, Afghanistan, AFG
25.4416, 1937, Jul, Afghanistan, AFG
24.3876, 1937, Aug, Afghanistan, AFG
19.2397, 1937, Sep, Afghanistan, AFG
12.1497, 1937, Oct, Afghanistan, AFG
5.32412, 1937, Nov, Afghanistan, AFG
0.70613, 1937, Dec, Afghanistan, AFG
0.79394, 1938, Jan, Afghanistan, AFG
2.77639, 1938, Feb, Afghanistan, AFG
6.21646, 1938, Mar, Afghanistan, AFG
14.3674, 1938, Apr, Afghanistan, AFG
20.6008, 1938, May, Afghanistan, AFG
22.2836, 1938, Jun, Afghanistan, AFG
24.3969, 1938, Jul, Afghanistan, AFG
23.846, 1938, Aug, Afghanistan, AFG
18.7434, 1938, Sep, Afghanistan, AFG
12.7521, 1938, Oct, Afghanistan, AFG
5.12986, 1938, Nov, Afghanistan, AFG
2.20074, 1938, Dec, Afghanistan, AFG
1.1556, 1939, Jan, Afghanistan, AFG
2.03543, 1939, Feb, Afghanistan, AFG
5.09357, 1939, Mar, Afghanistan, AFG
10.0518, 1939, Apr, Afghanistan, AFG
17.6742, 1939, May, Afghanistan, AFG
24.4846, 1939, Jun, Afghanistan, AFG
25.1596, 1939, Jul, Afghanistan, AFG
23.7335, 1939, Aug, Afghanistan, AFG
19.7633, 1939, Sep, Afghanistan, AFG
13.3526, 1939, Oct, Afghanistan, AFG
7.68502, 1939, Nov, Afghanistan, AFG
4.869, 1939, Dec, Afghanistan, AFG
2.11452, 1940, Jan, Afghanistan, AFG
4.17434, 1940, Feb, Afghanistan, AFG
5.67578, 1940, Mar, Afghanistan, AFG
13.2806, 1940, Apr, Afghanistan, AFG
18.2911, 1940, May, Afghanistan, AFG
23.9365, 1940, Jun, Afghanistan, AFG
25.8139, 1940, Jul, Afghanistan, AFG
23.2111, 1940, Aug, Afghanistan, AFG
19.1622, 1940, Sep, Afghanistan, AFG
14.7078, 1940, Oct, Afghanistan, AFG
8.02228, 1940, Nov, Afghanistan, AFG
3.69792, 1940, Dec, Afghanistan, AFG
0.27641, 1941, Jan, Afghanistan, AFG
5.4479, 1941, Feb, Afghanistan, AFG
9.99832, 1941, Mar, Afghanistan, AFG
14.4327, 1941, Apr, Afghanistan, AFG
19.9822, 1941, May, Afghanistan, AFG
24.3181, 1941, Jun, Afghanistan, AFG
24.8854, 1941, Jul, Afghanistan, AFG
24.6843, 1941, Aug, Afghanistan, AFG
19.0573, 1941, Sep, Afghanistan, AFG
15.8634, 1941, Oct, Afghanistan, AFG
7.49161, 1941, Nov, Afghanistan, AFG
3.13308, 1941, Dec, Afghanistan, AFG
0.7282, 1942, Jan, Afghanistan, AFG
1.21574, 1942, Feb, Afghanistan, AFG
8.65851, 1942, Mar, Afghanistan, AFG
13.5724, 1942, Apr, Afghanistan, AFG
18.9535, 1942, May, Afghanistan, AFG
22.8885, 1942, Jun, Afghanistan, AFG
25.3868, 1942, Jul, Afghanistan, AFG
23.1434, 1942, Aug, Afghanistan, AFG
18.4882, 1942, Sep, Afghanistan, AFG
14.0305, 1942, Oct, Afghanistan, AFG
9.27713, 1942, Nov, Afghanistan, AFG
1.34136, 1942, Dec, Afghanistan, AFG
-0.903, 1943, Jan, Afghanistan, AFG
1.9381, 1943, Feb, Afghanistan, AFG
5.80092, 1943, Mar, Afghanistan, AFG
11.8163, 1943, Apr, Afghanistan, AFG
17.2108, 1943, May, Afghanistan, AFG
22.1766, 1943, Jun, Afghanistan, AFG
25.272, 1943, Jul, Afghanistan, AFG
24.0627, 1943, Aug, Afghanistan, AFG
18.8433, 1943, Sep, Afghanistan, AFG
12.3343, 1943, Oct, Afghanistan, AFG
6.61902, 1943, Nov, Afghanistan, AFG
4.4004, 1943, Dec, Afghanistan, AFG
1.50451, 1944, Jan, Afghanistan, AFG
3.32644, 1944, Feb, Afghanistan, AFG
10.1751, 1944, Mar, Afghanistan, AFG
13.2066, 1944, Apr, Afghanistan, AFG
19.3196, 1944, May, Afghanistan, AFG
23.2703, 1944, Jun, Afghanistan, AFG
26.6997, 1944, Jul, Afghanistan, AFG
23.9783, 1944, Aug, Afghanistan, AFG
18.1922, 1944, Sep, Afghanistan, AFG
12.8157, 1944, Oct, Afghanistan, AFG
7.2332, 1944, Nov, Afghanistan, AFG
-2.0469, 1944, Dec, Afghanistan, AFG
-1.4945, 1945, Jan, Afghanistan, AFG
0.511, 1945, Feb, Afghanistan, AFG
6.59818, 1945, Mar, Afghanistan, AFG
12.1952, 1945, Apr, Afghanistan, AFG
16.9989, 1945, May, Afghanistan, AFG
22.9502, 1945, Jun, Afghanistan, AFG
24.816, 1945, Jul, Afghanistan, AFG
24.6122, 1945, Aug, Afghanistan, AFG
19.6957, 1945, Sep, Afghanistan, AFG
13.5077, 1945, Oct, Afghanistan, AFG
6.88738, 1945, Nov, Afghanistan, AFG
1.91471, 1945, Dec, Afghanistan, AFG
-0.0345, 1946, Jan, Afghanistan, AFG
4.91921, 1946, Feb, Afghanistan, AFG
8.07632, 1946, Mar, Afghanistan, AFG
15.7644, 1946, Apr, Afghanistan, AFG
20.8864, 1946, May, Afghanistan, AFG
23.1791, 1946, Jun, Afghanistan, AFG
25.0201, 1946, Jul, Afghanistan, AFG
23.7911, 1946, Aug, Afghanistan, AFG
19.5279, 1946, Sep, Afghanistan, AFG
14.8621, 1946, Oct, Afghanistan, AFG
4.23884, 1946, Nov, Afghanistan, AFG
-1.5612, 1946, Dec, Afghanistan, AFG
1.41309, 1947, Jan, Afghanistan, AFG
2.95933, 1947, Feb, Afghanistan, AFG
9.9138, 1947, Mar, Afghanistan, AFG
14.2169, 1947, Apr, Afghanistan, AFG
18.3782, 1947, May, Afghanistan, AFG
22.6156, 1947, Jun, Afghanistan, AFG
24.7334, 1947, Jul, Afghanistan, AFG
25.1885, 1947, Aug, Afghanistan, AFG
19.6381, 1947, Sep, Afghanistan, AFG
13.3662, 1947, Oct, Afghanistan, AFG
9.99531, 1947, Nov, Afghanistan, AFG
2.5123, 1947, Dec, Afghanistan, AFG
2.29104, 1948, Jan, Afghanistan, AFG
3.3749, 1948, Feb, Afghanistan, AFG
6.76657, 1948, Mar, Afghanistan, AFG
12.9808, 1948, Apr, Afghanistan, AFG
19.6999, 1948, May, Afghanistan, AFG
22.7654, 1948, Jun, Afghanistan, AFG
25.8236, 1948, Jul, Afghanistan, AFG
23.8164, 1948, Aug, Afghanistan, AFG
19.1619, 1948, Sep, Afghanistan, AFG
12.8715, 1948, Oct, Afghanistan, AFG
5.90642, 1948, Nov, Afghanistan, AFG
0.60029, 1948, Dec, Afghanistan, AFG
-1.867, 1949, Jan, Afghanistan, AFG
2.07054, 1949, Feb, Afghanistan, AFG
7.02345, 1949, Mar, Afghanistan, AFG
13.4698, 1949, Apr, Afghanistan, AFG
18.6097, 1949, May, Afghanistan, AFG
21.2776, 1949, Jun, Afghanistan, AFG
25.4737, 1949, Jul, Afghanistan, AFG
22.9967, 1949, Aug, Afghanistan, AFG
